------------------------------------------
|Sort criteria |Ascdg|Descending|Subtotal|
|----------------------------------------|
|Sales document|  X  |          |   X    |
|Item (SD)     |  X  |          |        |
------------------------------------------
---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    4,312|
---------------------------
27.12.2019                                                            Open Orders Report                                                                2
-----------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------
|SD Doc.|Material          |Long Material Number                    |Plnt|Name 1                             |Quantity|Req.Delivy|Conf Date |   Curr Price|
|---------------------------------------------------------------------------------------------------------------------------------------------------------|
|41528  |HEALTHCHECK-PLM   |                                        |2000|SAAB AB                            |      1 |30.12.2022|30.12.2022|        0.00 |
|41528  |HEALTHCHECK-PLM   |                                        |2000|SAAB AB                            |      1 |30.12.2022|30.12.2022|        0.01 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.10.2019|01.10.2019|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.11.2019|01.11.2019|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.12.2019|01.12.2019|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.01.2020|01.01.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.02.2020|01.02.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.03.2020|01.03.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.04.2020|01.04.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.05.2020|01.05.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.06.2020|01.06.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.07.2020|01.07.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.08.2020|01.08.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.09.2020|01.09.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.10.2020|01.10.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.11.2020|01.11.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.12.2020|01.12.2020|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.01.2021|01.01.2021|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.02.2021|01.02.2021|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     24 |01.03.2021|01.03.2021|    9,702.00 |
|48283  |RPM424-9XS        |                                        |2000|GENERAL DYNAMICS UNITED KINGDOM LTD|     21 |01.04.2021|01.04.2021|    9,702.00 |
